Group ID,Filename,Resolution,Duration (ms),Size (Bytes),Full Path
Group 43,ssstwitter.com_1760884452853.mp4,1080x1920,254888,64153643,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1760884452853.mp4
Group 44,ssstwitter.com_1763082754995.mp4,720x720,1610516,131776423,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1763082754995.mp4
Group 44,ssstwitter.com_1778603184131.mp4,720x720,1610516,131776423,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1778603184131.mp4
Group 45,ssstwitter.com_1763166082490.mp4,720x720,2169830,219500702,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1763166082490.mp4
Group 45,ssstwitter.com_1778448704120.mp4,720x720,2169830,219500091,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1778448704120.mp4
Group 46,ssstwitter.com_1763391746912.mp4,720x720,1836514,165696891,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1763391746912.mp4
Group 46,ssstwitter.com_1776635222221.mp4,720x720,1836514,165696891,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1776635222221.mp4
Group 47,ssstwitter.com_1698349221651.mp4,320x484,12000,249911,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1698349221651.mp4
Group 47,ssstwitter.com_1698349242901.mp4,480x728,12000,422884,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1698349242901.mp4
Group 47,ssstwitter.com_1698349254031.mp4,720x1092,12000,729330,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1698349254031.mp4
Group 48,ssstwitter.com_1725955872812.mp4,636x360,13837,618984,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1725955872812.mp4
Group 48,ssstwitter.com_1725963601726.mp4,476x270,13837,244883,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1725963601726.mp4
Group 49,ssstwitter.com_1729086538981.mp4,540x540,32425,1054619,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1729086538981.mp4
Group 49,ssstwitter.com_1761044100259.mp4,540x540,32492,1155205,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1761044100259.mp4
